	city	station_name	empty_slots	slots	free_bikes	ebikes	latitude	longitude	timestamp
445	Toronto	Langford Ave / Danforth Ave - SMART	10	16	6	0	43.6800218	-79.3405681	2023-06-05T15:38:08.634000Z
446	Toronto	University of Toronto Scarborough	14	16	2	0	43.7842419	-79.1849889	2023-06-05T15:38:09.036000Z
447	Toronto	190 Queens Quay E	7	15	8	0	43.6451308	-79.36536439999999	2023-06-05T15:38:08.880000Z
448	Toronto	324 Cherry St	13	19	5	0	43.6482995	-79.3552533	2023-06-05T15:38:08.702000Z
449	Toronto	Elm St/ University Ave (East Side)	7	17	10	0	43.65637299999999	-79.38781039999999	2023-06-05T15:38:09.034000Z
450	Toronto	Walton St / Elizabeth St - SMART	2	20	18	0	43.657838	-79.38631	2023-06-05T15:38:08.580000Z
451	Toronto	Waterfront Trail (Rouge Hill)	0	19	17	0	43.778015	-79.131911	2023-06-05T15:38:08.777000Z
452	Toronto	St Clair Ave W / Gunns Rd	18	23	5	0	43.672079	-79.470171	2023-06-05T15:38:08.713000Z
453	Toronto	Pape Ave / Gamble Ave	9	19	10	0	43.690237	-79.350119	2023-06-05T15:38:08.563000Z
454	Toronto	Roehampton Ave / Mount Pleasant Rd	18	19	1	0	43.70942	-79.39139	2023-06-05T15:38:08.725000Z
455	Toronto	Church St / Bloor St E	4	15	11	0	43.671389	-79.382919	2023-06-05T15:38:08.669000Z
456	Toronto	200 Bloor St E	13	23	10	0	43.671561	-79.38117	2023-06-05T15:38:08.931000Z
457	Toronto	Bloor St W / Balmuto St	5	11	6	1	43.669903	-79.387802	2023-06-05T15:38:08.995000Z
458	Toronto	Moore Park	12	14	1	1	43.693256	-79.383238	2023-06-05T15:38:08.637000Z
459	Toronto	Bloor St W / Pacific Ave	5	7	2	0	43.65412449999999	-79.4636388	2023-06-05T15:38:08.846000Z
460	Toronto	Danforth Ave / Dewhurst Blvd	12	15	3	0	43.680207	-79.339243	2023-06-05T15:38:08.975000Z
461	Toronto	Bloor St W / Brock Ave	9	11	1	0	43.6589882	-79.438715	2023-06-05T15:38:08.847000Z
462	Toronto	Davenport Rd / Dovercourt Rd - SMART	16	16	0	0	43.6741219	-79.4352208	2023-06-05T15:38:08.729000Z
463	Toronto	1 Market St - SMART	5	19	4	0	43.6469928	-79.3706665	2023-06-05T15:38:08.848000Z
464	Toronto	Brick Works	3	25	22	0	43.683884	-79.36647	2023-06-05T15:38:08.972000Z
465	Toronto	University Ave / Gerrard St W (WEST) - SMART	0	18	18	1	43.6578449	-79.3899265	2023-06-05T15:38:08.548000Z
466	Toronto	University Ave / King St W - SMART	2	23	20	0	43.6477785	-79.3847928	2023-06-05T15:38:09.082000Z
467	Toronto	Amroth Ave / Danforth Ave	13	19	6	1	43.6856128	-79.31168269999999	2023-06-05T15:38:08.979000Z
468	Toronto	Summerhill Subway Station	9	11	2	0	43.681944	-79.390556	2023-06-05T15:38:08.673000Z
469	Toronto	Highfield Rd / Gerrard St E	16	19	3	0	43.671771	-79.324961	2023-06-05T15:38:08.896000Z
470	Toronto	Niagara St / Richmond St W	26	26	0	0	43.64534	-79.409597	2023-06-05T15:38:08.535000Z
471	Toronto	Beaty Ave / Queen St W	15	19	4	0	43.6393107	-79.4408141	2023-06-05T15:38:08.753000Z
472	Toronto	Blantyre Park	23	23	0	0	43.68306889999999	-79.279682	2023-06-05T15:38:08.757000Z
473	Toronto	Queen St E / Rushbrooke Ave	12	15	3	0	43.6626628	-79.3323698	2023-06-05T15:38:08.658000Z
474	Toronto	Donlands Subway Station	14	15	1	0	43.681114	-79.3373885	2023-06-05T15:38:09.001000Z
475	Toronto	Lynn Williams St / East Liberty St - SMART	4	15	11	0	43.638925	-79.4168659	2023-06-05T15:38:08.662000Z
476	Toronto	Eastwood Rd / Woodbine Ave - SMART	11	14	3	0	43.676216	-79.309395	2023-06-05T15:38:08.888000Z
477	Toronto	Victoria St / Queen St E	2	23	21	0	43.652822	-79.378208	2023-06-05T15:38:08.726000Z
478	Toronto	285 Victoria St	0	19	19	0	43.656633	-79.379625	2023-06-05T15:38:09.022000Z
479	Toronto	Gerrard St E / Victoria Park Ave - SMART	13	16	3	1	43.686962	-79.286864	2023-06-05T15:38:08.935000Z
480	Toronto	Kilgour Rd / Rumsey Rd	16	17	1	0	43.718039	-79.371914	2023-06-05T15:38:08.753000Z
481	Toronto	Bay St / Scollard St	5	15	10	1	43.672152	-79.39018	2023-06-05T15:38:08.539000Z
482	Toronto	Weston Rd / St Clair Ave W - SMART	13	19	6	0	43.673019	-79.467994	2023-06-05T15:38:08.711000Z
483	Toronto	Sunnybrook Health Centre - L Wing	12	15	3	0	43.72268	-79.37644	2023-06-05T15:38:08.754000Z
484	Toronto	Dundas St W / St Helen's Ave - SMART	23	26	3	0	43.6504218	-79.4407647	2023-06-05T15:38:08.756000Z
485	Toronto	Yonge St / St Clair Ave	8	19	10	0	43.68850459999999	-79.3940052	2023-06-05T15:38:09.031000Z
486	Toronto	Spadina Ave / Blue Jays Way	8	30	22	1	43.641705	-79.393295	2023-06-05T15:38:08.583000Z
487	Toronto	Bloor St W / Riverside Dr	18	23	5	0	43.647663	-79.487583	2023-06-05T15:38:08.546000Z
488	Toronto	Simcoe St / Dundas St W - SMART	2	20	1	0	43.6558557	-79.3894093	2023-06-05T15:38:08.998000Z
489	Toronto	Sunnybrook Health Centre - S Wing	7	11	4	0	43.720998	-79.377456	2023-06-05T15:38:08.754000Z
490	Toronto	Yonge St / Woburn Ave - SMART	10	12	0	0	43.72814640000001	-79.4032194	2023-06-05T15:38:08.606000Z
491	Toronto	Simcoe St / Michael Sweet Ave	2	19	17	0	43.652327224103	-79.3882538196087	2023-06-05T15:38:08.672000Z
492	Toronto	Queen St W / Dovercourt Rd	5	11	5	0	43.6438602	-79.4227573	2023-06-05T15:38:08.786000Z
493	Toronto	Yonge St / Montgomery Ave - SMART	10	12	0	0	43.7093201	-79.3996301	2023-06-05T15:38:08.607000Z
494	Toronto	Kings Mill Park	15	27	12	0	43.64920406876699	-79.49336334201408	2023-06-05T15:38:08.856000Z
495	Toronto	University Ave / Richmond St W	0	35	33	0	43.6503935	-79.3860211	2023-06-05T15:38:09.035000Z
496	Toronto	135 Queens Wharf Rd - SMART	10	16	6	0	43.6399714	-79.39940399999999	2023-06-05T15:38:08.543000Z
497	Toronto	406 Oakwood Ave	19	19	0	0	43.68827060022711	-79.43937767081853	2023-06-05T15:38:08.532000Z
498	Toronto	Granby St / Church St - SMART	7	24	17	0	43.6614605	-79.37894570000002	2023-06-05T15:38:08.881000Z
499	Toronto	Lumsden Ave / Eastdale Ave	18	20	2	0	43.69413548199171	-79.30058718775287	2023-06-05T15:38:08.967000Z
500	Toronto	Yonge St / Lawrence Ave	23	23	0	0	43.7254665	-79.40115449999999	2023-06-05T15:38:08.678000Z
501	Toronto	Yonge St / Orchard View Blvd	25	35	9	0	43.7083577	-79.39886200000001	2023-06-05T15:38:08.627000Z
502	Toronto	Hanna Ave / Liberty St	0	17	17	0	43.63840090000001	-79.4197107	2023-06-05T15:38:08.674000Z
503	Toronto	Lower Don River Trail and Taylor Creek Trail	7	19	12	0	43.7027268	-79.33368089999999	2023-06-05T15:38:08.859000Z
504	Toronto	St Columba Pl / St Clair Ave E	11	18	7	0	43.70567	-79.310554	2023-06-05T15:38:08.968000Z
505	Toronto	Strachan Ave / Princes' Blvd	5	19	14	0	43.635	-79.4088888888889	2023-06-05T15:38:08.603000Z
506	Toronto	King St E / River St	15	15	0	0	43.656784782853144	-79.35627385059036	2023-06-05T15:38:08.749000Z
507	Toronto	Yonge St / Golfdale Rd	15	15	0	0	43.732016	-79.403637	2023-06-05T15:38:08.634000Z
508	Toronto	909 Yonge St	10	14	4	0	43.67515255542865	-79.38849615969643	2023-06-05T15:38:09.039000Z
509	Toronto	640 Bloor Street E	15	19	4	0	43.67468857448634	-79.36701962396272	2023-06-05T15:38:08.945000Z
510	Toronto	York University (Glendon Campus) - SMART	15	16	1	0	43.727365488246306	-79.3814254607724	2023-06-05T15:38:08.604000Z
511	Toronto	1303 Yonge St - SMART	13	16	2	0	43.6846177	-79.39245919999999	2023-06-05T15:38:08.604000Z
512	Toronto	York University Station (South) - SMART	12	16	4	0	43.77345	-79.5002	2023-06-05T15:38:08.598000Z
513	Toronto	Woodbine Subway Station	10	15	5	0	43.686442	-79.313404	2023-06-05T15:38:09.019000Z
514	Toronto	Spadina Ave / Sussex Ave - SMART	32	35	3	0	43.66402799999999	-79.40297869999999	2023-06-05T15:38:08.755000Z
515	Toronto	Simcoe St / Queen St W	2	39	36	1	43.65049	-79.3873	2023-06-05T15:38:08.831000Z
516	Toronto	Bathurst St / Front St W	24	27	3	0	43.64134790000001	-79.4013882	2023-06-05T15:38:08.803000Z
517	Toronto	Bay St / Harbour St (East)	11	23	12	0	43.64215	-79.377	2023-06-05T15:38:08.801000Z
518	Toronto	E Liberty St / Western Battery Rd	17	18	1	0	43.6392777	-79.4115736	2023-06-05T15:38:08.731000Z
519	Toronto	King St W / Brant St	1	22	20	0	43.645102	-79.39744979999999	2023-06-05T15:38:08.801000Z
520	Toronto	Bloor St W / Gladstone Ave - SMART	10	11	1	0	43.6602021	-79.4342726	2023-06-05T15:38:08.799000Z
521	Toronto	High Park Blvd / Parkside Dr	7	15	8	0	43.644887	-79.45641169999999	2023-06-05T15:38:08.808000Z
522	Toronto	20 Eaton Ave	7	26	19	14	43.680012	-79.34403250000001	2023-06-05T15:38:08.807000Z
523	Toronto	Fort York Blvd / Garrison Rd	14	15	1	0	43.637381	-79.406112	2023-06-05T15:38:08.717000Z
524	Toronto	Housey St / Dan Leckie Way	14	27	11	0	43.63811	-79.397877	2023-06-05T15:38:08.829000Z
525	Toronto	1525 Dundas St W	6	15	8	0	43.64957	-79.432446	2023-06-05T15:38:08.605000Z
526	Toronto	Bay St / Harbour St (West)	11	15	4	0	43.64191	-79.378325	2023-06-05T15:38:08.802000Z
527	Toronto	85 Lee Ave	13	26	13	8	43.6700692	-79.2971326	2023-06-05T15:38:08.645000Z
528	Toronto	Mutual St / Shuter St (Arena Gardens)	11	19	8	0	43.6559476	-79.37558829999999	2023-06-05T15:38:08.646000Z
529	Toronto	Queen St E / Joseph Duggan Rd	11	18	6	0	43.6677628	-79.30811709999999	2023-06-05T15:38:08.642000Z
530	Toronto	Heyworth Cres / Kingston Rd	3	19	15	0	43.6750806	-79.3068697	2023-06-05T15:38:08.643000Z
531	Toronto	St Clair Ave W / Caledonia Rd	8	13	5	0	43.6754247	-79.4547813	2023-06-05T15:38:08.649000Z
532	Toronto	Wellington St W / Stafford St	23	23	0	0	43.6409957	-79.40966630000001	2023-06-05T15:38:08.717000Z
533	Toronto	111 Broadview Ave	10	18	7	0	43.6593483	-79.34993659999999	2023-06-05T15:38:08.552000Z
534	Toronto	Christie St / Dupont St	19	19	0	0	43.67168	-79.421192	2023-06-05T15:38:08.645000Z
535	Toronto	Richmond St E / Jarvis St Green P	0	16	6	0	43.652634	-79.374222	2023-06-05T15:38:08.954000Z
536	Toronto	Bathurst St / Dundas St W	8	27	19	0	43.6519501	-79.4060978	2023-06-05T15:38:08.671000Z
537	Toronto	Oak St / Sackville St	17	19	1	0	43.6613642	-79.3641171	2023-06-05T15:38:08.553000Z
538	Toronto	24 Mountjoy Ave	16	17	0	0	43.6808774	-79.3304491	2023-06-05T15:38:08.551000Z
539	Toronto	Colgate Ave / Carlaw Ave	2	19	17	0	43.6623658	-79.3413344	2023-06-05T15:38:08.551000Z
540	Toronto	Felstead Ave/Gillard Ave (Monarch Park)	24	27	1	0	43.6791345	-79.3263159	2023-06-05T15:38:08.550000Z
541	Toronto	Lower Jarvis / The Esplanade	6	15	9	0	43.6478206	-79.3704721	2023-06-05T15:38:08.677000Z
542	Toronto	Coronation Park (Martin Goodman Trail)	5	19	14	0	43.635495	-79.40352209999999	2023-06-05T15:38:08.550000Z
543	Toronto	101 Cedarvale Ave	18	20	2	0	43.6868681	-79.3110942	2023-06-05T15:38:08.555000Z
544	Toronto	St Clair Ave W / Oakwood Ave	14	15	1	0	43.678177	-79.435364	2023-06-05T15:38:08.650000Z
545	Toronto	Beltline Trail / Yonge St	23	23	0	0	43.6962302	-79.39504339999999	2023-06-05T15:38:08.556000Z
546	Toronto	Shaw St / Essex St - SMART	15	15	0	0	43.667076	-79.425116	2023-06-05T15:38:08.680000Z
547	Toronto	High Park Outdoor Pool	26	26	0	0	43.649217	-79.465319	2023-06-05T15:38:09.121000Z
548	Toronto	St Clair Ave W / Robina Ave	14	15	1	0	43.68005	-79.43469	2023-06-05T15:38:08.554000Z
549	Toronto	Joseph J Piccininni Community Centre	15	19	4	0	43.675648	-79.4527619	2023-06-05T15:38:08.664000Z
550	Toronto	11 Spadina Rd	9	18	3	3	43.6677246	-79.4041365	2023-06-05T15:38:08.698000Z
551	Toronto	Vanauley St / Queen St W - SMART	3	12	9	0	43.648437	-79.39838	2023-06-05T15:38:08.652000Z
552	Toronto	Sherbourne St / Wellesley St E	31	31	0	0	43.6673	-79.374	2023-06-05T15:38:08.620000Z
553	Toronto	Queen St W / Bay St (City Hall)	2	23	21	0	43.6517925	-79.38269509999999	2023-06-05T15:38:08.905000Z
554	Toronto	Queen St W / Roncesvalles Ave	10	19	9	0	43.6372958	-79.4423237	2023-06-05T15:38:08.626000Z
555	Toronto	Havelock St / Dewson St	15	15	0	0	43.6554793	-79.4302462	2023-06-05T15:38:08.697000Z
556	Toronto	St Clair West Subway Station - Heath Entrance	22	22	0	0	43.686352	-79.415894	2023-06-05T15:38:08.845000Z
557	Toronto	Queen St W / Shaw St	5	19	14	0	43.6442457	-79.41610440000001	2023-06-05T15:38:08.699000Z
558	Toronto	York University Station (North)	5	15	10	0	43.7741	-79.5005	2023-06-05T15:38:08.599000Z
559	Toronto	Spadina Rd / St.Clair Ave West	15	15	0	0	43.683979	-79.410657	2023-06-05T15:38:09.033000Z
560	Toronto	Spadina Ave / Adelaide St W	2	15	13	0	43.6472019	-79.3953394	2023-06-05T15:38:08.580000Z
561	Toronto	Cherry St / Mill St	9	15	5	0	43.6513927	-79.35794659999999	2023-06-05T15:38:08.877000Z
562	Toronto	Jarvis St / Maitland Pl	5	17	12	0	43.6647688	-79.3772602	2023-06-05T15:38:08.632000Z
563	Toronto	Temperance St / Bay St	3	23	18	0	43.6506	-79.381285	2023-06-05T15:38:08.698000Z
564	Toronto	Cherry Beach Sports Field (55 Unwin Ave)	11	15	4	0	43.6408346	-79.3429074	2023-06-05T15:38:08.560000Z
565	Toronto	Randolph Ave / Perth Ave	3	19	16	0	43.6585504	-79.4497659	2023-06-05T15:38:08.676000Z
566	Toronto	Wolseley St / Augusta Ave	14	28	14	0	43.6484201	-79.40051919999999	2023-06-05T15:38:08.694000Z
567	Toronto	Lumsden Ave / Cedarvale Ave	10	11	1	0	43.693187	-79.314283	2023-06-05T15:38:08.699000Z
568	Toronto	Niagara St / Portland St	9	11	2	0	43.6425791	-79.40011729999999	2023-06-05T15:38:08.700000Z
569	Toronto	Church St / The Esplanade	1	19	18	0	43.6469251	-79.3733192	2023-06-05T15:38:08.701000Z
570	Toronto	King St W / Portland St	7	16	7	0	43.644395	-79.40065430000001	2023-06-05T15:38:08.805000Z
571	Toronto	Widmer St / King St W	9	11	1	0	43.6463574	-79.391206	2023-06-05T15:38:08.805000Z
572	Toronto	Wellesley St E / Parliament St	15	15	0	0	43.6682342	-79.3702641	2023-06-05T15:38:08.806000Z
573	Toronto	Yonge St / Macpherson Ave	10	15	4	0	43.6791876	-79.39071899999999	2023-06-05T15:38:08.807000Z
574	Toronto	Davenport Rd / Bedford Rd	12	15	3	0	43.674446	-79.398331	2023-06-05T15:38:09.088000Z
575	Toronto	Princes' Blvd / Nunavut Rd	13	19	6	0	43.6334636	-79.4143057	2023-06-05T15:38:08.678000Z
576	Toronto	Exhibition GO Station	9	14	5	0	43.6352007	-79.4187711	2023-06-05T15:38:08.813000Z
577	Toronto	265 Armadale Ave	10	31	15	13	43.6501644	-79.48296909999999	2023-06-05T15:38:08.556000Z
578	Toronto	800 Fleet St	22	43	20	0	43.636804	-79.408832	2023-06-05T15:38:08.986000Z
579	Toronto	St Joseph St / Bay St - SMART	0	0	0	0	43.6658804	-79.38761010000002	2023-06-05T15:38:08.607000Z
580	Toronto	Victoria Park Ave / Kingston Rd	6	15	9	0	43.68035	-79.28357	2023-06-05T15:38:08.984000Z
581	Toronto	Ontario St / Adelaide St E -SMART	14	18	4	0	43.6535052	-79.3667689	2023-06-05T15:38:08.936000Z
582	Toronto	Highview Ave / Kennedy Rd	10	15	4	0	43.702418581463505	-79.2563167072858	2023-06-05T15:38:08.981000Z
583	Toronto	Kingston Rd / Warden Ave	6	14	7	0	43.68824135931814	-79.27046628033244	2023-06-05T15:38:08.983000Z
584	Toronto	Birchcliff Ave / Kingston Rd	12	15	3	0	43.691688	-79.265027	2023-06-05T15:38:08.989000Z
585	Toronto	Kingston Rd / Glen Everest Rd	13	15	1	0	43.697490048103	-79.25655146462776	2023-06-05T15:38:08.987000Z
586	Toronto	Birchmount Rd / Kingston Rd	13	15	2	0	43.69401297794256	-79.26257204548136	2023-06-05T15:38:08.988000Z
587	Toronto	Pharmacy Ave / Danforth Ave	11	15	4	1	43.6929478	-79.28339980000001	2023-06-05T15:38:08.982000Z
588	Toronto	Danforth Ave / Warden Ave	10	15	5	0	43.6950192	-79.27180659999999	2023-06-05T15:38:08.990000Z
589	Toronto	Eglinton Ave W / Gilbert Ave	17	19	2	0	43.69263249999999	-79.4627536	2023-06-05T15:38:09.112000Z
590	Toronto	Sharpe St / Park St (Sandown Park)	12	15	2	0	43.7105975	-79.2541175	2023-06-05T15:38:09.089000Z
591	Toronto	Eglinton Ave W / Prospect Cemetery	16	19	3	0	43.69415	-79.45782580000001	2023-06-05T15:38:09.111000Z
592	Toronto	The Royal Ontario Museum (Bloor St Entrance)	6	19	13	0	43.668500046272165	-79.3946235999697	2023-06-05T15:38:08.654000Z
593	Toronto	Marlee Ave / York Beltline Trail	18	19	0	0	43.70163	-79.44099	2023-06-05T15:38:09.115000Z
594	Toronto	Bert Robinson Park	12	15	3	0	43.688028	-79.460265	2023-06-05T15:38:09.118000Z
595	Toronto	Rogers Rd / Prospect Cemetery	19	23	4	0	43.68323	-79.455765	2023-06-05T15:38:09.117000Z
596	Toronto	Eglinton Ave W / Ennerdale Rd	12	14	2	0	43.69466	-79.45376999999999	2023-06-05T15:38:09.116000Z
