	Unnamed: 0	city	station_name	empty_slots	slots	free_bikes	ebikes	latitude	longitude	timestamp	foursquare_num_poi	Yelp_poi_count
261	261	Toronto	Pottery Rd / Lower Don River Trail	4	15	10	0	43.688148	-79.362101	2023-06-05T15:38:08.630000Z	0	23
262	262	Toronto	Bleecker St / St James Ave	18	23	4	0	43.669232	-79.374495	2023-06-05T15:38:08.631000Z	0	542
263	263	Toronto	Western Battery Rd / Pirandello St	24	31	7	0	43.640075	-79.414156	2023-06-05T15:38:08.633000Z	0	423
264	264	Toronto	Carlaw Ave / Danforth Ave	13	15	2	0	43.678285	-79.347346	2023-06-05T15:38:08.633000Z	0	337
265	265	Toronto	Cosburn Ave / Cedarvale Ave	10	15	5	0	43.697139	-79.31469	2023-06-05T15:38:08.797000Z	0	30
266	266	Toronto	Goodwood Park Ct / Dentonia Park	17	19	2	0	43.694826	-79.295208	2023-06-05T15:38:08.798000Z	0	166
267	267	Toronto	Eastwood Rd / Coxwell Ave	7	19	12	0	43.673118	-79.318651	2023-06-05T15:38:08.795000Z	0	149
268	268	Toronto	Trent Ave / Danforth Ave	21	23	1	0	43.689293	-79.295895	2023-06-05T15:38:08.796000Z	0	189
269	269	Toronto	Orchard Park	14	19	5	0	43.66908	-79.3149	2023-06-05T15:38:08.797000Z	0	158
270	270	Toronto	Clendenan Ave / Rowland St - SMART	16	19	3	0	43.66073	-79.47149	2023-06-05T15:38:08.795000Z	0	230
271	271	Toronto	Martin Goodman Trail / Remembrance Dr	26	26	0	0	43.63121	-79.41414	2023-06-05T15:38:08.793000Z	0	99
272	272	Toronto	Concord Ave / Bloor St W	13	15	2	0	43.66189	-79.42679	2023-06-05T15:38:08.822000Z	0	311
273	273	Toronto	Gothic Ave / Quebec Ave	13	19	6	0	43.65389	-79.4675	2023-06-05T15:38:08.828000Z	0	197
274	274	Toronto	Via Italia / Mackay Ave	13	16	3	1	43.676697	-79.445029	2023-06-05T15:38:08.821000Z	0	116
275	275	Toronto	Rushton Rd / St Clair Ave W	10	10	0	0	43.68114	-79.4277	2023-06-05T15:38:08.821000Z	0	248
276	276	Toronto	Dundas St E / Boulton Ave - SMART	12	16	3	0	43.663148	-79.347938	2023-06-05T15:38:08.825000Z	0	225
277	277	Toronto	Gerrard St E / Leslie St	14	22	8	0	43.669813	-79.3335	2023-06-05T15:38:08.824000Z	0	286
278	278	Toronto	Marilyn Bell Park Tennis Court	16	27	11	0	43.633537	-79.437461	2023-06-05T15:38:08.823000Z	0	176
279	279	Toronto	The Queensway at South Kingsway	1	23	22	1	43.63632	-79.47307	2023-06-05T15:38:09.008000Z	0	44
280	280	Toronto	Merton St / Mount Pleasant Rd	23	23	0	0	43.697819	-79.38786	2023-06-05T15:38:09.010000Z	0	175
281	281	Toronto	Tyndall Ave / King St W - SMART	8	16	8	0	43.638426	-79.429142	2023-06-05T15:38:09.011000Z	0	390
282	282	Toronto	College Park - Yonge St Entrance	1	25	23	0	43.65988	-79.38279	2023-06-05T15:38:08.586000Z	0	1075
283	283	Toronto	Bloor St W / Huron St	23	27	3	1	43.667023	-79.401805	2023-06-05T15:38:08.587000Z	0	525
284	284	Toronto	Barton Ave / Howland Ave - SMART	8	19	11	0	43.66842	-79.410585	2023-06-05T15:38:09.012000Z	0	486
285	285	Toronto	Keele St / Annette St	4	15	11	0	43.66402	-79.46418	2023-06-05T15:38:08.584000Z	0	227
286	286	Toronto	Keele St / Vine Ave	21	23	2	0	43.66686	-79.46526	2023-06-05T15:38:08.585000Z	0	231
287	287	Toronto	Howard St / Rose Ave	18	19	1	0	43.671278	-79.372127	2023-06-05T15:38:08.582000Z	0	329
288	288	Toronto	Little Norway Park	22	22	0	0	43.635023	-79.399505	2023-06-05T15:38:08.582000Z	0	73
289	289	Toronto	Isabella St / Church St	18	19	0	0	43.66834	-79.38235	2023-06-05T15:38:08.723000Z	0	776
290	290	Toronto	University Ave / Armoury St	1	23	20	0	43.65263	-79.38766	2023-06-05T15:38:08.724000Z	0	1463
291	291	Toronto	Lascelles Blvd / Eglinton Ave W	16	19	3	1	43.70547	-79.40355	2023-06-05T15:38:08.727000Z	0	283
292	292	Toronto	Polson Pier	15	23	8	0	43.641675	-79.354006	2023-06-05T15:38:08.727000Z	0	34
293	293	Toronto	Dentonia Park	10	23	12	0	43.694341	-79.291416	2023-06-05T15:38:08.789000Z	0	159
294	294	Toronto	Lower Jarvis / Queens Quay E	4	19	14	0	43.64422	-79.36927	2023-06-05T15:38:08.790000Z	0	486
295	295	Toronto	Summerhill Ave / Maclennan Ave	11	11	0	0	43.685924	-79.376304	2023-06-05T15:38:08.893000Z	0	14
296	296	Toronto	Queens Quay E / Lower Sherbourne St	6	26	19	0	43.645215	-79.364898	2023-06-05T15:38:08.579000Z	0	415
297	297	Toronto	Wright Ave / Sorauren Ave - SMART	6	18	10	0	43.646677	-79.442741	2023-06-05T15:38:09.098000Z	0	371
298	298	Toronto	Ellis Ave / The Queensway	1	19	18	0	43.63855	-79.46693	2023-06-05T15:38:08.910000Z	0	53
299	299	Toronto	High Park - Grenadier Cafe	8	11	2	0	43.645599	-79.4657123	2023-06-05T15:38:09.066000Z	0	87
300	300	Toronto	Winona Dr / Davenport Rd	11	11	0	0	43.674923	-79.430465	2023-06-05T15:38:08.525000Z	0	260
301	301	Toronto	Danforth Ave / Aldridge Ave	10	11	1	0	43.684758	-79.316767	2023-06-05T15:38:09.068000Z	0	150
302	302	Toronto	Dundonald St / Church St	28	36	8	0	43.66663	-79.38148	2023-06-05T15:38:08.835000Z	0	829
303	303	Toronto	Gerrard St E / Malvern Ave - SMART	10	19	9	1	43.685221	-79.294766	2023-06-05T15:38:08.940000Z	0	239
304	304	Toronto	Bathurst St/Queens Quay(Billy Bishop Airport)	30	35	3	0	43.635492	-79.398253	2023-06-05T15:38:08.904000Z	0	147
305	305	Toronto	Queens Quay W / Lower Simcoe St	12	19	6	0	43.63951	-79.383717	2023-06-05T15:38:08.620000Z	0	411
306	306	Toronto	Bremner Blvd / Rees St	1	23	20	1	43.641529	-79.386741	2023-06-05T15:38:09.021000Z	0	816
307	307	Toronto	King St W / Crawford St	20	23	2	0	43.6417852	-79.4131148	2023-06-05T15:38:08.581000Z	0	462
308	308	Toronto	Yonge St / Dundas Sq	1	27	25	0	43.655766	-79.3802	2023-06-05T15:38:08.790000Z	0	1357
309	309	Toronto	St Clair Ave W / Winona Ave	8	11	3	0	43.680466	-79.432522	2023-06-05T15:38:08.858000Z	0	257
310	310	Toronto	Bay St / Wellesley St W	28	51	22	4	43.664088	-79.387095	2023-06-05T15:38:08.666000Z	0	993
311	311	Toronto	Humberside Grounds - SMART	11	20	9	0	43.65917	-79.46997	2023-06-05T15:38:08.938000Z	0	298
312	312	Toronto	Bloor St E / Huntley St - SMART	11	16	5	0	43.671535	-79.379173	2023-06-05T15:38:08.577000Z	0	583
313	313	Toronto	Wellington St W / York St	2	23	21	0	43.646734	-79.38301	2023-06-05T15:38:09.113000Z	0	1209
314	314	Toronto	Dalton Rd / Bloor St W	12	15	3	0	43.6662942	-79.4066433	2023-06-05T15:38:08.773000Z	0	524
315	315	Toronto	Davenport Rd / Christie St	13	27	13	0	43.675278	-79.423889	2023-06-05T15:38:09.069000Z	0	256
316	316	Toronto	King St W / Jordan St	0	11	10	0	43.648928	-79.378623	2023-06-05T15:38:08.584000Z	0	1301
317	317	Toronto	George St / King St E	2	15	13	0	43.6509552	-79.3707	2023-06-05T15:38:08.999000Z	0	929
318	318	Toronto	E.T. Seton Park (Eglinton Ave E / Leslie St)	16	27	10	0	43.715951	-79.351246	2023-06-05T15:38:08.631000Z	0	12
319	319	Toronto	Woodbine Ave / Lake Shore Blvd E	3	27	24	1	43.665645	-79.304711	2023-06-05T15:38:09.020000Z	0	115
320	320	Toronto	King St W / Charlotte St	4	23	19	0	43.645572	-79.39399	2023-06-05T15:38:08.728000Z	0	1029
321	321	Toronto	Jarvis St / Richmond St E	11	19	8	1	43.652777	-79.372637	2023-06-05T15:38:08.922000Z	0	1070
322	322	Toronto	Symington Ave / Dupont St	8	15	7	0	43.665538	-79.451263	2023-06-05T15:38:08.923000Z	0	112
323	323	Toronto	King St E / Jarvis St	1	25	23	1	43.650325	-79.372287	2023-06-05T15:38:08.591000Z	0	960
324	324	Toronto	Bay St / Bloor St W (East Side)	0	15	15	1	43.66943	-79.38915	2023-06-05T15:38:08.835000Z	0	730
325	325	Toronto	Bay St / Bloor St W (West Side)	11	19	8	1	43.669244	-79.3894	2023-06-05T15:38:08.927000Z	0	734
326	326	Toronto	Lonsdale Rd / Spadina Rd	15	15	0	0	43.688526	-79.412903	2023-06-05T15:38:08.794000Z	0	60
327	327	Toronto	Wells Hill Ave / St Clair Ave W	14	15	1	0	43.683351	-79.41562	2023-06-05T15:38:08.818000Z	0	173
328	328	Toronto	Dundas St E / George St	25	25	0	0	43.6574766	-79.373446	2023-06-05T15:38:08.793000Z	0	1104
329	329	Toronto	Fleet St / Bathurst St	12	23	11	0	43.636611	-79.400042	2023-06-05T15:38:08.613000Z	0	302
330	330	Toronto	Tecumseth St / Queen St W - SMART	7	9	2	0	43.646552	-79.406468	2023-06-05T15:38:08.812000Z	0	567
331	331	Toronto	Wellington St W / Bay St	0	27	26	1	43.647259	-79.379878	2023-06-05T15:38:08.952000Z	0	1216
332	332	Toronto	Briar Hill Ave / Yonge St - SMART	16	16	0	0	43.713524	-79.400162	2023-06-05T15:38:08.887000Z	0	148
333	333	Toronto	King St E / Church St	1	15	13	0	43.65003919999999	-79.3733541	2023-06-05T15:38:08.609000Z	0	1010
334	334	Toronto	Bay St / Albert St	5	35	30	0	43.653264	-79.382458	2023-06-05T15:38:08.831000Z	0	1653
335	335	Toronto	Wellesley St W / Queen's Park Cres	5	18	12	0	43.663376	-79.392125	2023-06-05T15:38:08.592000Z	0	971
336	336	Toronto	Bay St / College St (East Side)	2	19	16	0	43.660439	-79.385525	2023-06-05T15:38:08.597000Z	0	1011
337	337	Toronto	University Ave / College St (West)	0	11	11	0	43.659226	-79.390213	2023-06-05T15:38:08.770000Z	0	823
338	338	Toronto	University Ave / College St (East)	1	14	13	0	43.65995	-79.38964	2023-06-05T15:38:08.939000Z	0	902
339	339	Toronto	Queen's Park Cres E / Grosvenor St - SMART	1	12	11	0	43.661803	-79.389682	2023-06-05T15:38:08.997000Z	0	1006
340	340	Toronto	Bay St / College St (West Side) - SMART	1	12	9	0	43.660087	-79.385655	2023-06-05T15:38:09.094000Z	0	986
341	341	Toronto	Superior Ave / Lake Shore Blvd W	10	17	7	0	43.6146692	-79.4873148	2023-06-05T15:38:08.530000Z	0	98
342	342	Toronto	Humber Bay Shores Park / Marine Parade Dr	13	31	17	0	43.626265	-79.476723	2023-06-05T15:38:08.531000Z	0	132
343	343	Toronto	Lake Shore Blvd W / Colborne Lodge Dr	4	27	23	0	43.63771	-79.458173	2023-06-05T15:38:08.532000Z	0	38
344	344	Toronto	Ripley Ave / Ormskirk Ave	0	22	22	0	43.6390437	-79.4760109	2023-06-05T15:38:08.529000Z	0	35
345	345	Toronto	St Clarens Ave / Shirley St	13	15	2	0	43.6486599	-79.4376413	2023-06-05T15:38:08.662000Z	0	420
346	346	Toronto	Lisgar Park	23	23	0	0	43.6423847	-79.4240277	2023-06-05T15:38:08.665000Z	0	594
347	347	Toronto	Bartlett Parkette	23	23	0	0	43.6702236	-79.4360232	2023-06-05T15:38:08.664000Z	0	72
