	id	name	is_closed	latitude	longitude	address	rating	categories
5940	tMPXd7cu7u0418i9ZALSzQ	Rennie Park	False	43.64456	-79.47459	Waller Avenue & Rennie Terrace	4.0	Parks
5941	OR6iRk0vrMzE-1gLg-WYrw	Grenadier Cafe	False	43.6453922668846	-79.46537733078	200 Parkside Dr	3.0	Breakfast & Brunch
5942	T_ZMSF3Yj_YMQL7X60Ok7g	Flame Food+Design	False	43.6511699407415	-79.4751231579362	2197 Bloor Street W	4.5	Canadian (New)
5943	VEMX1R4xtF5AXwKlNMyDVg	High Park	False	43.6476281585089	-79.463939666748	1873 Bloor St W	4.5	Parks
5944	djKTruHtS4n_vlfOknxjRw	Queen's Pasta Café	False	43.65057609999999	-79.4779248	2263 Bloor Street W	3.5	Italian
5945	HOGdBz2w9VZbw2yyM-WA3g	The Mugshot Tavern	False	43.6546	-79.45957	1729 Bloor Street W	4.0	Bars
5946	nIwtGMkMyx0elLxVFs1D6A	Aztec's Mine	False	43.65302	-79.4684988	1986 Bloor Street W	4.0	Mexican
5947	g29Wq8-qWAQok49AQO2WqQ	Bukhara Grill	False	43.6508421	-79.477041	2241A Bloor Street W	4.0	Indian
5948	iBt37-7t5GP2ZRT81yHgew	Shakey's Sports Pub	False	43.6507268	-79.4774603	2255 Bloor Street W	4.0	Sports Bars
5949	GvQPVqnurLazw8dATsrq0A	iHalo Krunch	False	43.65218799375557	-79.47220221161842	2114 Bloor St W	4.5	Ice Cream & Frozen Yogurt
5950	VMke4hqemlPH9kWxUkfohA	KINTON RAMEN	False	43.65142	-79.47609	2216 Bloor Street W	3.5	Ramen
5951	H5oLlt9G6ifU11n86oP5Fg	COBS Bread	False	43.65140278622663	-79.47567733802872	2204 Bloor Street W	5.0	Bakeries
5952	1i13cN3pfq7sWaQtg_t1DQ	Baka Gallery Cafe	False	43.6508882	-79.4776153	2256 Bloor Street W	3.5	Cafes
5953	kC9xjFyucgCupZloE8BrWw	High Park Zoo	False	43.64277340211848	-79.46143642518237	1873 Bloor Street W	4.0	Zoos
5954	JlIK-c-pINHz4WWT2xYPEA	Hot Oven Bakery	False	43.65131	-79.47663	2226 Bloor St W	4.0	Bakeries
5955	ZFmXmNy-msZzUXgKHM6y9w	Bello Pizza	False	43.65144895399031	-79.47541347810547	2196 Bloor Street W	5.0	Pizza
5956	9rVKArx9fsjU0VgDL1Q3KA	Fox & Johns Pub & Restaurant	False	43.65112	-79.4752	2199 Bloor Street  W	3.5	Pubs
5957	_FChVG5UzT4yno0h5kWMTQ	The Works	False	43.6506932036695	-79.477451428836	2245 Bloor Street W	3.0	Burgers
5958	ECOnq58qoeqwPuS59P1W-A	Hannah's Cafe and Bakery	False	43.6542601	-79.4625825	1822 Bloor Street W	3.5	Coffee & Tea
5959	0rTpli68HuH5wUFX3YdE8w	The Swan A Firkin Pub	False	43.65101	-79.47563	2205 Bloor St W	3.0	Pubs
5960	wh_td2_DBlD4KnFgFevW4A	Sunnyside Pavilion Cafe	False	43.6377	-79.45739	1755 Lake Shore Boulevard W	3.0	Diners
5961	sw3HdidP3E9YiuuLVyfeNw	Salto Restaurant	False	43.6749099	-79.43089	1138 Davenport Road	4.5	Italian
5962	LFxMt7Oi0vdsmZ3h_UBV-g	Nodo Restaurant	False	43.6810110636599	-79.4297991693019	794 Saint Clair Avenue W	4.5	Italian
5963	-ICGmF2qUVKdvOehVNgPbg	Lamesa Filipino Kitchen	False	43.682297	-79.423948	634 St Clair Avenue W	4.0	Filipino
5964	rvHGv9Q7r5QkIYrCZlfoAQ	Pukka	False	43.681191	-79.429274	778 St. Clair Avenue W	4.0	Indian
5965	rHxc9sR5ELjboLqd_fUzJg	Barista & Chef	False	43.6794533	-79.4374528	1006 Saint Clair Avenue W	4.5	Mediterranean
5966	OlklbRrfBIlc6obPtZPF3w	CANO Restaurant	False	43.67871	-79.44058	1108 St Clair Avenue W	4.5	Italian
5967	1N5cHdQi_DdK0XpvfpSyRw	Queen of Persia	False	43.68203	-79.42542	672A St Clair Avenue W	4.5	Persian/Iranian
5968	TozYSxnKbMECma0exWdnFg	FK	False	43.68127	-79.42869	770 St Clair Avenue W	4.5	French
5969	Uq-GOs9_IqweUsB5MdII9w	Emma's Country Kitchen	False	43.68103	-79.4303599	810 Saint Clair Avenue W	4.0	Breakfast & Brunch
5970	fyekfJA4hXNgMQ09HL9WIA	Famiglia Baldassarre	False	43.67052	-79.4350599	122 Geary Avenue	4.5	Italian
5971	86W-L1l70wL-7n0lSfoY-Q	Rush Hour	False	43.67111	-79.44037	1438A Dufferin Street	4.5	Portuguese
